date,AVAX
"Sep 19, 2020",2
"Sep 20, 2020",5
"Sep 21, 2020",7
"Sep 22, 2020",25
"Sep 23, 2020",10
"Sep 24, 2020",5
"Sep 25, 2020",5
"Sep 26, 2020",4
"Sep 27, 2020",4
"Sep 28, 2020",4
"Sep 29, 2020",2
"Sep 30, 2020",3
"Oct 1, 2020",3
"Oct 2, 2020",3
"Oct 3, 2020",2
"Oct 4, 2020",2
"Oct 5, 2020",2
"Oct 6, 2020",2
"Oct 7, 2020",2
"Oct 8, 2020",2
"Oct 9, 2020",1
"Oct 10, 2020",2
"Oct 11, 2020",0
"Oct 12, 2020",3
"Oct 13, 2020",2
"Oct 14, 2020",2
"Oct 15, 2020",1
"Oct 16, 2020",2
"Oct 17, 2020",2
"Oct 18, 2020",2
"Oct 19, 2020",4
"Oct 20, 2020",1
"Oct 21, 2020",2
"Oct 22, 2020",0
"Oct 23, 2020",2
"Oct 24, 2020",2
"Oct 25, 2020",1
"Oct 26, 2020",3
"Oct 27, 2020",2
"Oct 28, 2020",1
"Oct 29, 2020",2
"Oct 30, 2020",0
"Oct 31, 2020",2
"Nov 1, 2020",2
"Nov 2, 2020",2
"Nov 3, 2020",2
"Nov 4, 2020",1
"Nov 5, 2020",2
"Nov 6, 2020",1
"Nov 7, 2020",2
"Nov 8, 2020",2
"Nov 9, 2020",2
"Nov 10, 2020",2
"Nov 11, 2020",2
"Nov 12, 2020",3
"Nov 13, 2020",2
"Nov 14, 2020",3
"Nov 15, 2020",2
"Nov 16, 2020",2
"Nov 17, 2020",2
"Nov 18, 2020",2
"Nov 19, 2020",2
"Nov 20, 2020",2
"Nov 21, 2020",2
"Nov 22, 2020",1
"Nov 23, 2020",3
"Nov 24, 2020",4
"Nov 25, 2020",2
"Nov 26, 2020",2
"Nov 27, 2020",3
"Nov 28, 2020",0
"Nov 29, 2020",2
"Nov 30, 2020",3
"Dec 1, 2020",2
"Dec 2, 2020",2
"Dec 3, 2020",1
"Dec 4, 2020",2
"Dec 5, 2020",0
"Dec 6, 2020",1
"Dec 7, 2020",2
"Dec 8, 2020",3
"Dec 9, 2020",3
"Dec 10, 2020",2
"Dec 11, 2020",0
"Dec 12, 2020",3
"Dec 13, 2020",2
"Dec 14, 2020",1
"Dec 15, 2020",2
"Dec 16, 2020",2
"Dec 17, 2020",3
"Dec 18, 2020",0
"Dec 19, 2020",1
"Dec 20, 2020",2
"Dec 21, 2020",3
"Dec 22, 2020",2
"Dec 23, 2020",6
"Dec 24, 2020",3
"Dec 25, 2020",3
"Dec 26, 2020",2
"Dec 27, 2020",3
"Dec 28, 2020",3
"Dec 29, 2020",3
"Dec 30, 2020",3
"Dec 31, 2020",3
"Jan 1, 2021",8
"Jan 2, 2021",6
"Jan 3, 2021",4
"Jan 4, 2021",4
"Jan 5, 2021",5
"Jan 6, 2021",6
"Jan 7, 2021",7
"Jan 8, 2021",7
"Jan 9, 2021",22
"Jan 10, 2021",13
"Jan 11, 2021",8
"Jan 12, 2021",14
"Jan 13, 2021",9
"Jan 14, 2021",15
"Jan 15, 2021",14
"Jan 16, 2021",28
"Jan 17, 2021",25
"Jan 18, 2021",19
"Jan 19, 2021",17
"Jan 20, 2021",14
"Jan 21, 2021",10
"Jan 22, 2021",13
"Jan 23, 2021",12
"Jan 24, 2021",9
"Jan 25, 2021",11
"Jan 26, 2021",8
"Jan 27, 2021",9
"Jan 28, 2021",9
"Jan 29, 2021",9
"Jan 30, 2021",9
"Jan 31, 2021",17
"Feb 1, 2021",10
"Feb 2, 2021",8
"Feb 3, 2021",11
"Feb 4, 2021",13
"Feb 5, 2021",15
"Feb 6, 2021",15
"Feb 7, 2021",34
"Feb 8, 2021",60
"Feb 9, 2021",34
"Feb 10, 2021",100
"Feb 11, 2021",85
"Feb 12, 2021",54
"Feb 13, 2021",50
"Feb 14, 2021",61
"Feb 15, 2021",55
"Feb 16, 2021",43
"Feb 17, 2021",44
"Feb 18, 2021",45
"Feb 19, 2021",36
"Feb 20, 2021",35
"Feb 21, 2021",34
"Feb 22, 2021",33
"Feb 23, 2021",31
"Feb 24, 2021",26
"Feb 25, 2021",23
"Feb 26, 2021",20
"Feb 27, 2021",21
"Feb 28, 2021",23
"Mar 1, 2021",23
"Mar 2, 2021",26
"Mar 3, 2021",25
"Mar 4, 2021",21
"Mar 5, 2021",21
"Mar 6, 2021",19
"Mar 7, 2021",25
"Mar 8, 2021",24
"Mar 9, 2021",51
"Mar 10, 2021",43
"Mar 11, 2021",32
"Mar 12, 2021",28
"Mar 13, 2021",32
"Mar 14, 2021",27
"Mar 15, 2021",25
"Mar 16, 2021",26
"Mar 17, 2021",27
"Mar 18, 2021",28
"Mar 19, 2021",30
"Mar 20, 2021",26
"Mar 21, 2021",24
"Mar 22, 2021",24
"Mar 23, 2021",19
"Mar 24, 2021",23
"Mar 25, 2021",21
"Mar 26, 2021",20
"Mar 27, 2021",17
"Mar 28, 2021",25
"Mar 29, 2021",23
"Mar 30, 2021",23
"Mar 31, 2021",27
"Apr 1, 2021",22
"Apr 2, 2021",21
"Apr 3, 2021",26
"Apr 4, 2021",20
"Apr 5, 2021",28
"Apr 6, 2021",23
"Apr 7, 2021",16
"Apr 8, 2021",15
"Apr 9, 2021",30
"Apr 10, 2021",26
"Apr 11, 2021",23
"Apr 12, 2021",24
"Apr 13, 2021",21
"Apr 14, 2021",32
"Apr 15, 2021",31
"Apr 16, 2021",26
"Apr 17, 2021",22
"Apr 18, 2021",30
"Apr 19, 2021",23
"Apr 20, 2021",19
"Apr 21, 2021",17
"Apr 22, 2021",12
"Apr 23, 2021",17
