date,ETH
"Sep 19, 2020",14
"Sep 20, 2020",13
"Sep 21, 2020",16
"Sep 22, 2020",14
"Sep 23, 2020",15
"Sep 24, 2020",15
"Sep 25, 2020",13
"Sep 26, 2020",11
"Sep 27, 2020",12
"Sep 28, 2020",13
"Sep 29, 2020",13
"Sep 30, 2020",12
"Oct 1, 2020",12
"Oct 2, 2020",13
"Oct 3, 2020",10
"Oct 4, 2020",11
"Oct 5, 2020",12
"Oct 6, 2020",12
"Oct 7, 2020",11
"Oct 8, 2020",12
"Oct 9, 2020",11
"Oct 10, 2020",11
"Oct 11, 2020",10
"Oct 12, 2020",13
"Oct 13, 2020",11
"Oct 14, 2020",11
"Oct 15, 2020",11
"Oct 16, 2020",11
"Oct 17, 2020",9
"Oct 18, 2020",10
"Oct 19, 2020",10
"Oct 20, 2020",12
"Oct 21, 2020",13
"Oct 22, 2020",15
"Oct 23, 2020",13
"Oct 24, 2020",11
"Oct 25, 2020",11
"Oct 26, 2020",13
"Oct 27, 2020",14
"Oct 28, 2020",12
"Oct 29, 2020",12
"Oct 30, 2020",11
"Oct 31, 2020",10
"Nov 1, 2020",11
"Nov 2, 2020",12
"Nov 3, 2020",11
"Nov 4, 2020",11
"Nov 5, 2020",14
"Nov 6, 2020",16
"Nov 7, 2020",15
"Nov 8, 2020",13
"Nov 9, 2020",13
"Nov 10, 2020",13
"Nov 11, 2020",15
"Nov 12, 2020",14
"Nov 13, 2020",15
"Nov 14, 2020",13
"Nov 15, 2020",12
"Nov 16, 2020",14
"Nov 17, 2020",17
"Nov 18, 2020",18
"Nov 19, 2020",16
"Nov 20, 2020",19
"Nov 21, 2020",21
"Nov 22, 2020",23
"Nov 23, 2020",29
"Nov 24, 2020",28
"Nov 25, 2020",22
"Nov 26, 2020",22
"Nov 27, 2020",16
"Nov 28, 2020",16
"Nov 29, 2020",15
"Nov 30, 2020",21
"Dec 1, 2020",23
"Dec 2, 2020",18
"Dec 3, 2020",18
"Dec 4, 2020",16
"Dec 5, 2020",14
"Dec 6, 2020",14
"Dec 7, 2020",16
"Dec 8, 2020",15
"Dec 9, 2020",16
"Dec 10, 2020",13
"Dec 11, 2020",14
"Dec 12, 2020",12
"Dec 13, 2020",13
"Dec 14, 2020",14
"Dec 15, 2020",14
"Dec 16, 2020",19
"Dec 17, 2020",25
"Dec 18, 2020",20
"Dec 19, 2020",17
"Dec 20, 2020",16
"Dec 21, 2020",18
"Dec 22, 2020",16
"Dec 23, 2020",15
"Dec 24, 2020",17
"Dec 25, 2020",16
"Dec 26, 2020",19
"Dec 27, 2020",25
"Dec 28, 2020",25
"Dec 29, 2020",23
"Dec 30, 2020",24
"Dec 31, 2020",22
"Jan 1, 2021",22
"Jan 2, 2021",32
"Jan 3, 2021",54
"Jan 4, 2021",67
"Jan 5, 2021",45
"Jan 6, 2021",49
"Jan 7, 2021",57
"Jan 8, 2021",51
"Jan 9, 2021",41
"Jan 10, 2021",54
"Jan 11, 2021",51
"Jan 12, 2021",35
"Jan 13, 2021",31
"Jan 14, 2021",33
"Jan 15, 2021",33
"Jan 16, 2021",34
"Jan 17, 2021",29
"Jan 18, 2021",30
"Jan 19, 2021",54
"Jan 20, 2021",37
"Jan 21, 2021",33
"Jan 22, 2021",32
"Jan 23, 2021",29
"Jan 24, 2021",34
"Jan 25, 2021",41
"Jan 26, 2021",31
"Jan 27, 2021",31
"Jan 28, 2021",29
"Jan 29, 2021",37
"Jan 30, 2021",32
"Jan 31, 2021",30
"Feb 1, 2021",28
"Feb 2, 2021",41
"Feb 3, 2021",56
"Feb 4, 2021",58
"Feb 5, 2021",49
"Feb 6, 2021",47
"Feb 7, 2021",45
"Feb 8, 2021",55
"Feb 9, 2021",56
"Feb 10, 2021",45
"Feb 11, 2021",40
"Feb 12, 2021",39
"Feb 13, 2021",40
"Feb 14, 2021",39
"Feb 15, 2021",38
"Feb 16, 2021",39
"Feb 17, 2021",41
"Feb 18, 2021",49
"Feb 19, 2021",51
"Feb 20, 2021",61
"Feb 21, 2021",50
"Feb 22, 2021",58
"Feb 23, 2021",62
"Feb 24, 2021",46
"Feb 25, 2021",36
"Feb 26, 2021",36
"Feb 27, 2021",33
"Feb 28, 2021",42
"Mar 1, 2021",35
"Mar 2, 2021",33
"Mar 3, 2021",31
"Mar 4, 2021",29
"Mar 5, 2021",28
"Mar 6, 2021",30
"Mar 7, 2021",34
"Mar 8, 2021",34
"Mar 9, 2021",36
"Mar 10, 2021",32
"Mar 11, 2021",30
"Mar 12, 2021",29
"Mar 13, 2021",38
"Mar 14, 2021",37
"Mar 15, 2021",31
"Mar 16, 2021",31
"Mar 17, 2021",31
"Mar 18, 2021",30
"Mar 19, 2021",29
"Mar 20, 2021",29
"Mar 21, 2021",29
"Mar 22, 2021",29
"Mar 23, 2021",28
"Mar 24, 2021",29
"Mar 25, 2021",29
"Mar 26, 2021",28
"Mar 27, 2021",29
"Mar 28, 2021",25
"Mar 29, 2021",29
"Mar 30, 2021",30
"Mar 31, 2021",31
"Apr 1, 2021",34
"Apr 2, 2021",45
"Apr 3, 2021",43
"Apr 4, 2021",35
"Apr 5, 2021",35
"Apr 6, 2021",30
"Apr 7, 2021",30
"Apr 8, 2021",29
"Apr 9, 2021",31
"Apr 10, 2021",32
"Apr 11, 2021",32
"Apr 12, 2021",35
"Apr 13, 2021",40
"Apr 14, 2021",46
"Apr 15, 2021",51
"Apr 16, 2021",42
"Apr 17, 2021",40
"Apr 18, 2021",45
"Apr 19, 2021",37
"Apr 20, 2021",40
"Apr 21, 2021",40
"Apr 22, 2021",51
"Apr 23, 2021",44
"Apr 24, 2021",34
"Apr 25, 2021",37
"Apr 26, 2021",39
"Apr 27, 2021",40
"Apr 28, 2021",46
"Apr 29, 2021",42
"Apr 30, 2021",38
"May 1, 2021",47
"May 2, 2021",45
"May 3, 2021",89
"May 4, 2021",85
"May 5, 2021",69
"May 6, 2021",68
"May 7, 2021",58
"May 8, 2021",75
"May 9, 2021",81
"May 10, 2021",100
"May 11, 2021",82
"May 12, 2021",87
"May 13, 2021",89
"May 14, 2021",70
"May 15, 2021",60
"May 16, 2021",64
"May 17, 2021",67
"May 18, 2021",38
"May 19, 2021",68
"May 20, 2021",47
"May 21, 2021",38
"May 22, 2021",36
"May 23, 2021",45
"May 24, 2021",38
"May 25, 2021",34
"May 26, 2021",30
"May 27, 2021",27
"May 28, 2021",25
"May 29, 2021",25
"May 30, 2021",24
"May 31, 2021",23
"Jun 1, 2021",23
"Jun 2, 2021",23
"Jun 3, 2021",23
"Jun 4, 2021",23
"Jun 5, 2021",21
"Jun 6, 2021",20
"Jun 7, 2021",21
"Jun 8, 2021",23
"Jun 9, 2021",20
"Jun 10, 2021",18
"Jun 11, 2021",18
"Jun 12, 2021",19
"Jun 13, 2021",18
"Jun 14, 2021",18
"Jun 15, 2021",17
"Jun 16, 2021",17
"Jun 17, 2021",17
"Jun 18, 2021",17
"Jun 19, 2021",17
"Jun 20, 2021",18
"Jun 21, 2021",23
"Jun 22, 2021",25
"Jun 23, 2021",19
"Jun 24, 2021",19
"Jun 25, 2021",20
"Jun 26, 2021",21
"Jun 27, 2021",19
"Jun 28, 2021",20
"Jun 29, 2021",21
"Jun 30, 2021",19
"Jul 1, 2021",18
"Jul 2, 2021",18
"Jul 3, 2021",19
"Jul 4, 2021",23
"Jul 5, 2021",19
"Jul 6, 2021",21
"Jul 7, 2021",21
"Jul 8, 2021",20
"Jul 9, 2021",20
"Jul 10, 2021",19
"Jul 11, 2021",17
"Jul 12, 2021",19
"Jul 13, 2021",20
"Jul 14, 2021",21
"Jul 15, 2021",20
"Jul 16, 2021",18
"Jul 17, 2021",16
"Jul 18, 2021",19
"Jul 19, 2021",19
"Jul 20, 2021",19
"Jul 21, 2021",19
"Jul 22, 2021",19
"Jul 23, 2021",20
"Jul 24, 2021",25
"Jul 25, 2021",20
"Jul 26, 2021",26
"Jul 27, 2021",20
"Jul 28, 2021",20
"Jul 29, 2021",20
"Jul 30, 2021",20
"Jul 31, 2021",21
"Aug 1, 2021",24
"Aug 2, 2021",22
"Aug 3, 2021",23
"Aug 4, 2021",30
"Aug 5, 2021",42
"Aug 6, 2021",34
"Aug 7, 2021",37
"Aug 8, 2021",32
"Aug 9, 2021",30
"Aug 10, 2021",28
"Aug 11, 2021",28
"Aug 12, 2021",22
"Aug 13, 2021",25
"Aug 14, 2021",24
"Aug 15, 2021",22
"Aug 16, 2021",24
"Aug 17, 2021",25
"Aug 18, 2021",22
"Aug 19, 2021",23
"Aug 20, 2021",24
"Aug 21, 2021",23
"Aug 22, 2021",23
"Aug 23, 2021",26
"Aug 24, 2021",27
"Aug 25, 2021",24
"Aug 26, 2021",23
"Aug 27, 2021",22
"Aug 28, 2021",23
"Aug 29, 2021",24
"Aug 30, 2021",23
"Aug 31, 2021",27
"Sep 1, 2021",37
"Sep 2, 2021",34
"Sep 3, 2021",36
"Sep 4, 2021",28
"Sep 5, 2021",27
"Sep 6, 2021",28
"Sep 7, 2021",36
"Sep 8, 2021",29
"Sep 9, 2021",25
"Sep 10, 2021",25
"Sep 11, 2021",23
"Sep 12, 2021",23
"Sep 13, 2021",25
"Sep 14, 2021",21
"Sep 15, 2021",21
"Sep 16, 2021",23
"Sep 17, 2021",21
"Sep 18, 2021",21
"Sep 19, 2021",21
"Sep 20, 2021",24
"Sep 21, 2021",27
"Sep 22, 2021",24
"Sep 23, 2021",22
"Sep 24, 2021",25
"Sep 25, 2021",20
"Sep 26, 2021",19
"Sep 27, 2021",23
"Sep 28, 2021",23
"Sep 29, 2021",21
"Sep 30, 2021",21
"Oct 1, 2021",23
"Oct 2, 2021",23
"Oct 3, 2021",21
"Oct 4, 2021",22
"Oct 5, 2021",25
"Oct 6, 2021",28
"Oct 7, 2021",26
"Oct 8, 2021",23
"Oct 9, 2021",22
"Oct 10, 2021",22
"Oct 11, 2021",25
"Oct 12, 2021",24
"Oct 13, 2021",24
"Oct 14, 2021",26
"Oct 15, 2021",29
"Oct 16, 2021",27
"Oct 17, 2021",25
"Oct 18, 2021",26
"Oct 19, 2021",26
"Oct 20, 2021",36
"Oct 21, 2021",39
"Oct 22, 2021",28
"Oct 23, 2021",24
"Oct 24, 2021",24
"Oct 25, 2021",27
"Oct 26, 2021",31
"Oct 27, 2021",32
"Oct 28, 2021",32
"Oct 29, 2021",39
"Oct 30, 2021",32
"Oct 31, 2021",28
"Nov 1, 2021",30
"Nov 2, 2021",37
"Nov 3, 2021",38
"Nov 4, 2021",36
"Nov 5, 2021",33
"Nov 6, 2021",27
"Nov 7, 2021",29
"Nov 8, 2021",42
"Nov 9, 2021",41
"Nov 10, 2021",38
"Nov 11, 2021",33
"Nov 12, 2021",30
"Nov 13, 2021",29
"Nov 14, 2021",28
"Nov 15, 2021",31
"Nov 16, 2021",35
"Nov 17, 2021",32
"Nov 18, 2021",32
"Nov 19, 2021",29
"Nov 20, 2021",26
"Nov 21, 2021",27
"Nov 22, 2021",28
"Nov 23, 2021",28
"Nov 24, 2021",28
"Nov 25, 2021",29
"Nov 26, 2021",28
"Nov 27, 2021",23
"Nov 28, 2021",26
"Nov 29, 2021",29
"Nov 30, 2021",33
"Dec 1, 2021",33
"Dec 2, 2021",25
"Dec 3, 2021",26
"Dec 4, 2021",38
"Dec 5, 2021",28
"Dec 6, 2021",30
"Dec 7, 2021",29
"Dec 8, 2021",27
"Dec 9, 2021",28
"Dec 10, 2021",27
"Dec 11, 2021",27
"Dec 12, 2021",26
"Dec 13, 2021",27
"Dec 14, 2021",30
"Dec 15, 2021",29
"Dec 16, 2021",27
"Dec 17, 2021",29
"Dec 18, 2021",26
"Dec 19, 2021",25
"Dec 20, 2021",25
"Dec 21, 2021",25
"Dec 22, 2021",26
"Dec 23, 2021",26
"Dec 24, 2021",26
"Dec 25, 2021",25
"Dec 26, 2021",28
"Dec 27, 2021",25
"Dec 28, 2021",24
"Dec 29, 2021",26
"Dec 30, 2021",28
"Dec 31, 2021",23
"Jan 1, 2022",33
"Jan 2, 2022",39
"Jan 3, 2022",42
"Jan 4, 2022",86
"Jan 5, 2022",36
"Jan 6, 2022",42
"Jan 7, 2022",54
"Jan 8, 2022",48
"Jan 9, 2022",50
"Jan 10, 2022",49
"Jan 11, 2022",49
"Jan 12, 2022",48
"Jan 13, 2022",100
"Jan 14, 2022",27
"Jan 15, 2022",31
"Jan 16, 2022",59
"Jan 17, 2022",27
"Jan 18, 2022",28
"Jan 19, 2022",31
"Jan 20, 2022",30
"Jan 21, 2022",41
"Jan 22, 2022",48
"Jan 23, 2022",41
"Jan 24, 2022",100
"Jan 25, 2022",35
"Jan 26, 2022",33
"Jan 27, 2022",32
"Jan 28, 2022",32
"Jan 29, 2022",32
"Jan 30, 2022",31
"Jan 31, 2022",32
"Feb 1, 2022",35
"Feb 2, 2022",33
"Feb 3, 2022",30
"Feb 4, 2022",37
"Feb 5, 2022",38
"Feb 6, 2022",31
"Feb 7, 2022",37
"Feb 8, 2022",35
"Feb 9, 2022",31
"Feb 10, 2022",29
"Feb 11, 2022",30
"Feb 12, 2022",26
"Feb 13, 2022",28
"Feb 14, 2022",29
"Feb 15, 2022",29
"Feb 16, 2022",29
"Feb 17, 2022",27
"Feb 18, 2022",27
"Feb 19, 2022",27
"Feb 20, 2022",28
"Feb 21, 2022",28
"Feb 22, 2022",28
"Feb 23, 2022",27
"Feb 24, 2022",33
"Feb 25, 2022",25
"Feb 26, 2022",24
"Feb 27, 2022",25
"Feb 28, 2022",27
"Mar 1, 2022",27
"Mar 2, 2022",25
"Mar 3, 2022",21
"Mar 4, 2022",23
"Mar 5, 2022",19
"Mar 6, 2022",20
"Mar 7, 2022",23
"Mar 8, 2022",21
"Mar 9, 2022",22
"Mar 10, 2022",22
"Mar 11, 2022",20
"Mar 12, 2022",18
"Mar 13, 2022",18
"Mar 14, 2022",20
"Mar 15, 2022",19
"Mar 16, 2022",20
"Mar 17, 2022",24
"Mar 18, 2022",24
"Mar 19, 2022",21
"Mar 20, 2022",21
"Mar 21, 2022",21
"Mar 22, 2022",23
"Mar 23, 2022",22
"Mar 24, 2022",23
"Mar 25, 2022",23
"Mar 26, 2022",19
"Mar 27, 2022",21
"Mar 28, 2022",27
"Mar 29, 2022",26
"Mar 30, 2022",24
"Mar 31, 2022",22
"Apr 1, 2022",23
"Apr 2, 2022",22
"Apr 3, 2022",22
"Apr 4, 2022",22
"Apr 5, 2022",22
"Apr 6, 2022",22
"Apr 7, 2022",21
"Apr 8, 2022",21
"Apr 9, 2022",19
"Apr 10, 2022",19
"Apr 11, 2022",21
"Apr 12, 2022",19
"Apr 13, 2022",19
"Apr 14, 2022",19
"Apr 15, 2022",17
"Apr 16, 2022",16
"Apr 17, 2022",18
"Apr 18, 2022",19
"Apr 19, 2022",18
"Apr 20, 2022",18
"Apr 21, 2022",19
"Apr 22, 2022",19
"Apr 23, 2022",16
"Apr 24, 2022",16
"Apr 25, 2022",20
"Apr 26, 2022",20
"Apr 27, 2022",18
"Apr 28, 2022",17
"Apr 29, 2022",17
"Apr 30, 2022",17
"May 1, 2022",23
"May 2, 2022",19
"May 3, 2022",19
"May 4, 2022",19
"May 5, 2022",19
"May 6, 2022",18
"May 7, 2022",16
"May 8, 2022",17
"May 9, 2022",25
"May 10, 2022",23
"May 11, 2022",27
"May 12, 2022",36
"May 13, 2022",27
"May 14, 2022",19
"May 15, 2022",16
"May 16, 2022",18
"May 17, 2022",17
"May 18, 2022",17
"May 19, 2022",17
"May 20, 2022",15
"May 21, 2022",14
"May 22, 2022",13
"May 23, 2022",15
"May 24, 2022",15
"May 25, 2022",14
"May 26, 2022",18
"May 27, 2022",18
"May 28, 2022",14
"May 29, 2022",14
"May 30, 2022",14
"May 31, 2022",17
"Jun 1, 2022",15
"Jun 2, 2022",14
"Jun 3, 2022",15
"Jun 4, 2022",13
"Jun 5, 2022",14
"Jun 6, 2022",14
"Jun 7, 2022",15
"Jun 8, 2022",14
"Jun 9, 2022",15
"Jun 10, 2022",15
"Jun 11, 2022",20
"Jun 12, 2022",22
"Jun 13, 2022",39
"Jun 14, 2022",30
"Jun 15, 2022",29
"Jun 16, 2022",23
"Jun 17, 2022",19
"Jun 18, 2022",31
"Jun 19, 2022",25
"Jun 20, 2022",21
"Jun 21, 2022",17
"Jun 22, 2022",15
"Jun 23, 2022",14
"Jun 24, 2022",17
"Jun 25, 2022",14
"Jun 26, 2022",14
"Jun 27, 2022",14
"Jun 28, 2022",13
"Jun 29, 2022",14
"Jun 30, 2022",16
"Jul 1, 2022",14
"Jul 2, 2022",11
"Jul 3, 2022",12
"Jul 4, 2022",13
"Jul 5, 2022",14
"Jul 6, 2022",13
"Jul 7, 2022",14
"Jul 8, 2022",13
"Jul 9, 2022",12
"Jul 10, 2022",13
"Jul 11, 2022",13
"Jul 12, 2022",13
"Jul 13, 2022",13
"Jul 14, 2022",12
"Jul 15, 2022",13
"Jul 16, 2022",14
"Jul 17, 2022",16
"Jul 18, 2022",22
"Jul 19, 2022",20
"Jul 20, 2022",19
"Jul 21, 2022",15
"Jul 22, 2022",15
"Jul 23, 2022",13
"Jul 24, 2022",13
"Jul 25, 2022",12
"Jul 26, 2022",14
"Jul 27, 2022",13
"Jul 28, 2022",16
"Jul 29, 2022",15
"Jul 30, 2022",15
"Jul 31, 2022",13
"Aug 1, 2022",13
"Aug 2, 2022",14
"Aug 3, 2022",13
"Aug 4, 2022",14
"Aug 5, 2022",12
"Aug 6, 2022",11
"Aug 7, 2022",12
"Aug 8, 2022",15
"Aug 9, 2022",15
"Aug 10, 2022",15
"Aug 11, 2022",19
"Aug 12, 2022",15
"Aug 13, 2022",16
"Aug 14, 2022",15
"Aug 15, 2022",15
"Aug 16, 2022",14
"Aug 17, 2022",15
"Aug 18, 2022",14
