date,Ethereum
"Sep 19, 2020",5
"Sep 20, 2020",5
"Sep 21, 2020",5
"Sep 22, 2020",5
"Sep 23, 2020",5
"Sep 24, 2020",5
"Sep 25, 2020",5
"Sep 26, 2020",5
"Sep 27, 2020",4
"Sep 28, 2020",4
"Sep 29, 2020",4
"Sep 30, 2020",4
"Oct 1, 2020",4
"Oct 2, 2020",4
"Oct 3, 2020",4
"Oct 4, 2020",4
"Oct 5, 2020",4
"Oct 6, 2020",4
"Oct 7, 2020",4
"Oct 8, 2020",4
"Oct 9, 2020",4
"Oct 10, 2020",4
"Oct 11, 2020",4
"Oct 12, 2020",4
"Oct 13, 2020",4
"Oct 14, 2020",4
"Oct 15, 2020",4
"Oct 16, 2020",4
"Oct 17, 2020",3
"Oct 18, 2020",3
"Oct 19, 2020",4
"Oct 20, 2020",4
"Oct 21, 2020",5
"Oct 22, 2020",7
"Oct 23, 2020",6
"Oct 24, 2020",5
"Oct 25, 2020",5
"Oct 26, 2020",5
"Oct 27, 2020",5
"Oct 28, 2020",5
"Oct 29, 2020",4
"Oct 30, 2020",4
"Oct 31, 2020",5
"Nov 1, 2020",4
"Nov 2, 2020",4
"Nov 3, 2020",4
"Nov 4, 2020",4
"Nov 5, 2020",6
"Nov 6, 2020",7
"Nov 7, 2020",8
"Nov 8, 2020",6
"Nov 9, 2020",6
"Nov 10, 2020",6
"Nov 11, 2020",7
"Nov 12, 2020",7
"Nov 13, 2020",7
"Nov 14, 2020",6
"Nov 15, 2020",6
"Nov 16, 2020",6
"Nov 17, 2020",8
"Nov 18, 2020",8
"Nov 19, 2020",7
"Nov 20, 2020",10
"Nov 21, 2020",11
"Nov 22, 2020",12
"Nov 23, 2020",17
"Nov 24, 2020",18
"Nov 25, 2020",19
"Nov 26, 2020",12
"Nov 27, 2020",9
"Nov 28, 2020",9
"Nov 29, 2020",8
"Nov 30, 2020",11
"Dec 1, 2020",13
"Dec 2, 2020",9
"Dec 3, 2020",9
"Dec 4, 2020",9
"Dec 5, 2020",8
"Dec 6, 2020",8
"Dec 7, 2020",7
"Dec 8, 2020",7
"Dec 9, 2020",8
"Dec 10, 2020",7
"Dec 11, 2020",7
"Dec 12, 2020",6
"Dec 13, 2020",9
"Dec 14, 2020",6
"Dec 15, 2020",7
"Dec 16, 2020",9
"Dec 17, 2020",16
"Dec 18, 2020",11
"Dec 19, 2020",11
"Dec 20, 2020",10
"Dec 21, 2020",9
"Dec 22, 2020",9
"Dec 23, 2020",9
"Dec 24, 2020",10
"Dec 25, 2020",10
"Dec 26, 2020",11
"Dec 27, 2020",17
"Dec 28, 2020",21
"Dec 29, 2020",17
"Dec 30, 2020",17
"Dec 31, 2020",17
"Jan 1, 2021",15
"Jan 2, 2021",24
"Jan 3, 2021",45
"Jan 4, 2021",55
"Jan 5, 2021",40
"Jan 6, 2021",43
"Jan 7, 2021",52
"Jan 8, 2021",52
"Jan 9, 2021",46
"Jan 10, 2021",52
"Jan 11, 2021",52
"Jan 12, 2021",36
"Jan 13, 2021",31
"Jan 14, 2021",33
"Jan 15, 2021",29
"Jan 16, 2021",28
"Jan 17, 2021",26
"Jan 18, 2021",24
"Jan 19, 2021",43
"Jan 20, 2021",35
"Jan 21, 2021",32
"Jan 22, 2021",30
"Jan 23, 2021",25
"Jan 24, 2021",28
"Jan 25, 2021",35
"Jan 26, 2021",29
"Jan 27, 2021",27
"Jan 28, 2021",28
"Jan 29, 2021",34
"Jan 30, 2021",28
"Jan 31, 2021",26
"Feb 1, 2021",25
"Feb 2, 2021",36
"Feb 3, 2021",48
"Feb 4, 2021",47
"Feb 5, 2021",43
"Feb 6, 2021",42
"Feb 7, 2021",41
"Feb 8, 2021",45
"Feb 9, 2021",52
"Feb 10, 2021",45
"Feb 11, 2021",38
"Feb 12, 2021",39
"Feb 13, 2021",37
"Feb 14, 2021",38
"Feb 15, 2021",36
"Feb 16, 2021",35
"Feb 17, 2021",37
"Feb 18, 2021",45
"Feb 19, 2021",46
"Feb 20, 2021",52
"Feb 21, 2021",46
"Feb 22, 2021",48
"Feb 23, 2021",55
"Feb 24, 2021",41
"Feb 25, 2021",34
"Feb 26, 2021",35
"Feb 27, 2021",30
"Feb 28, 2021",35
"Mar 1, 2021",32
"Mar 2, 2021",28
"Mar 3, 2021",27
"Mar 4, 2021",23
"Mar 5, 2021",22
"Mar 6, 2021",24
"Mar 7, 2021",27
"Mar 8, 2021",29
"Mar 9, 2021",33
"Mar 10, 2021",30
"Mar 11, 2021",27
"Mar 12, 2021",26
"Mar 13, 2021",33
"Mar 14, 2021",34
"Mar 15, 2021",27
"Mar 16, 2021",26
"Mar 17, 2021",23
"Mar 18, 2021",23
"Mar 19, 2021",24
"Mar 20, 2021",23
"Mar 21, 2021",23
"Mar 22, 2021",24
"Mar 23, 2021",22
"Mar 24, 2021",23
"Mar 25, 2021",23
"Mar 26, 2021",20
"Mar 27, 2021",20
"Mar 28, 2021",19
"Mar 29, 2021",24
"Mar 30, 2021",25
"Mar 31, 2021",24
"Apr 1, 2021",29
"Apr 2, 2021",42
"Apr 3, 2021",41
"Apr 4, 2021",32
"Apr 5, 2021",31
"Apr 6, 2021",32
"Apr 7, 2021",29
"Apr 8, 2021",26
"Apr 9, 2021",24
"Apr 10, 2021",28
"Apr 11, 2021",29
"Apr 12, 2021",30
"Apr 13, 2021",37
"Apr 14, 2021",43
"Apr 15, 2021",46
"Apr 16, 2021",48
"Apr 17, 2021",38
"Apr 18, 2021",44
"Apr 19, 2021",37
"Apr 20, 2021",35
"Apr 21, 2021",33
"Apr 22, 2021",43
"Apr 23, 2021",44
"Apr 24, 2021",31
"Apr 25, 2021",31
"Apr 26, 2021",34
"Apr 27, 2021",37
"Apr 28, 2021",42
"Apr 29, 2021",41
"Apr 30, 2021",39
"May 1, 2021",49
"May 2, 2021",48
"May 3, 2021",90
"May 4, 2021",93
"May 5, 2021",83
"May 6, 2021",83
"May 7, 2021",70
"May 8, 2021",78
"May 9, 2021",86
"May 10, 2021",100
"May 11, 2021",73
"May 12, 2021",81
"May 13, 2021",94
"May 14, 2021",71
"May 15, 2021",60
"May 16, 2021",61
"May 17, 2021",74
"May 18, 2021",54
"May 19, 2021",100
"May 20, 2021",74
"May 21, 2021",63
"May 22, 2021",57
"May 23, 2021",71
"May 24, 2021",67
"May 25, 2021",57
"May 26, 2021",52
"May 27, 2021",44
"May 28, 2021",46
"May 29, 2021",43
"May 30, 2021",40
"May 31, 2021",40
"Jun 1, 2021",37
"Jun 2, 2021",36
"Jun 3, 2021",37
"Jun 4, 2021",34
"Jun 5, 2021",31
"Jun 6, 2021",31
"Jun 7, 2021",32
"Jun 8, 2021",38
"Jun 9, 2021",30
"Jun 10, 2021",28
"Jun 11, 2021",25
"Jun 12, 2021",27
"Jun 13, 2021",25
"Jun 14, 2021",28
"Jun 15, 2021",26
"Jun 16, 2021",22
"Jun 17, 2021",22
"Jun 18, 2021",23
"Jun 19, 2021",21
"Jun 20, 2021",25
"Jun 21, 2021",34
"Jun 22, 2021",38
"Jun 23, 2021",28
"Jun 24, 2021",25
"Jun 25, 2021",26
"Jun 26, 2021",26
"Jun 27, 2021",22
"Jun 28, 2021",26
"Jun 29, 2021",28
"Jun 30, 2021",24
"Jul 1, 2021",22
"Jul 2, 2021",20
"Jul 3, 2021",20
"Jul 4, 2021",23
"Jul 5, 2021",22
"Jul 6, 2021",22
"Jul 7, 2021",22
"Jul 8, 2021",22
"Jul 9, 2021",20
"Jul 10, 2021",18
"Jul 11, 2021",17
"Jul 12, 2021",19
"Jul 13, 2021",20
"Jul 14, 2021",21
"Jul 15, 2021",19
"Jul 16, 2021",19
"Jul 17, 2021",17
"Jul 18, 2021",18
"Jul 19, 2021",19
"Jul 20, 2021",24
"Jul 21, 2021",22
"Jul 22, 2021",21
"Jul 23, 2021",20
"Jul 24, 2021",21
"Jul 25, 2021",20
"Jul 26, 2021",31
"Jul 27, 2021",23
"Jul 28, 2021",23
"Jul 29, 2021",21
"Jul 30, 2021",22
"Jul 31, 2021",25
"Aug 1, 2021",29
"Aug 2, 2021",28
"Aug 3, 2021",25
"Aug 4, 2021",31
"Aug 5, 2021",43
"Aug 6, 2021",37
"Aug 7, 2021",43
"Aug 8, 2021",40
"Aug 9, 2021",37
"Aug 10, 2021",34
"Aug 11, 2021",35
"Aug 12, 2021",31
"Aug 13, 2021",29
"Aug 14, 2021",30
"Aug 15, 2021",28
"Aug 16, 2021",28
"Aug 17, 2021",25
"Aug 18, 2021",26
"Aug 19, 2021",24
"Aug 20, 2021",28
"Aug 21, 2021",27
"Aug 22, 2021",24
"Aug 23, 2021",30
"Aug 24, 2021",28
"Aug 25, 2021",24
"Aug 26, 2021",23
"Aug 27, 2021",22
"Aug 28, 2021",22
"Aug 29, 2021",21
"Aug 30, 2021",22
"Aug 31, 2021",25
"Sep 1, 2021",35
"Sep 2, 2021",36
"Sep 3, 2021",38
"Sep 4, 2021",31
"Sep 5, 2021",29
"Sep 6, 2021",31
"Sep 7, 2021",39
"Sep 8, 2021",29
"Sep 9, 2021",26
"Sep 10, 2021",24
"Sep 11, 2021",22
"Sep 12, 2021",21
"Sep 13, 2021",24
"Sep 14, 2021",23
"Sep 15, 2021",21
"Sep 16, 2021",22
"Sep 17, 2021",21
"Sep 18, 2021",19
"Sep 19, 2021",18
"Sep 20, 2021",24
"Sep 21, 2021",26
"Sep 22, 2021",24
"Sep 23, 2021",21
"Sep 24, 2021",25
"Sep 25, 2021",20
"Sep 26, 2021",19
"Sep 27, 2021",22
"Sep 28, 2021",20
"Sep 29, 2021",19
"Sep 30, 2021",18
"Oct 1, 2021",21
"Oct 2, 2021",22
"Oct 3, 2021",21
"Oct 4, 2021",21
"Oct 5, 2021",22
"Oct 6, 2021",26
