date,bearish
"Sep 19, 2020",22
"Sep 20, 2020",25
"Sep 21, 2020",48
"Sep 22, 2020",50
"Sep 23, 2020",47
"Sep 24, 2020",57
"Sep 25, 2020",41
"Sep 26, 2020",24
"Sep 27, 2020",31
"Sep 28, 2020",43
"Sep 29, 2020",45
"Sep 30, 2020",39
"Oct 1, 2020",37
"Oct 2, 2020",42
"Oct 3, 2020",25
"Oct 4, 2020",35
"Oct 5, 2020",37
"Oct 6, 2020",48
"Oct 7, 2020",51
"Oct 8, 2020",44
"Oct 9, 2020",35
"Oct 10, 2020",22
"Oct 11, 2020",27
"Oct 12, 2020",48
"Oct 13, 2020",39
"Oct 14, 2020",44
"Oct 15, 2020",44
"Oct 16, 2020",44
"Oct 17, 2020",30
"Oct 18, 2020",41
"Oct 19, 2020",39
"Oct 20, 2020",40
"Oct 21, 2020",41
"Oct 22, 2020",44
"Oct 23, 2020",35
"Oct 24, 2020",24
"Oct 25, 2020",25
"Oct 26, 2020",42
"Oct 27, 2020",41
"Oct 28, 2020",50
"Oct 29, 2020",36
"Oct 30, 2020",38
"Oct 31, 2020",29
"Nov 1, 2020",22
"Nov 2, 2020",39
"Nov 3, 2020",37
"Nov 4, 2020",40
"Nov 5, 2020",37
"Nov 6, 2020",29
"Nov 7, 2020",22
"Nov 8, 2020",24
"Nov 9, 2020",47
"Nov 10, 2020",49
"Nov 11, 2020",41
"Nov 12, 2020",49
"Nov 13, 2020",38
"Nov 14, 2020",22
"Nov 15, 2020",26
"Nov 16, 2020",46
"Nov 17, 2020",51
"Nov 18, 2020",45
"Nov 19, 2020",40
"Nov 20, 2020",36
"Nov 21, 2020",28
"Nov 22, 2020",37
"Nov 23, 2020",44
"Nov 24, 2020",43
"Nov 25, 2020",40
"Nov 26, 2020",44
"Nov 27, 2020",39
"Nov 28, 2020",29
"Nov 29, 2020",23
"Nov 30, 2020",42
"Dec 1, 2020",49
"Dec 2, 2020",49
"Dec 3, 2020",51
"Dec 4, 2020",47
"Dec 5, 2020",29
"Dec 6, 2020",30
"Dec 7, 2020",46
"Dec 8, 2020",44
"Dec 9, 2020",57
"Dec 10, 2020",57
"Dec 11, 2020",52
"Dec 12, 2020",29
"Dec 13, 2020",28
"Dec 14, 2020",44
"Dec 15, 2020",34
"Dec 16, 2020",42
"Dec 17, 2020",40
"Dec 18, 2020",44
"Dec 19, 2020",27
"Dec 20, 2020",37
"Dec 21, 2020",45
"Dec 22, 2020",50
"Dec 23, 2020",43
"Dec 24, 2020",29
"Dec 25, 2020",34
