date,bullish
"Sep 19, 2020",27
"Sep 20, 2020",28
"Sep 21, 2020",38
"Sep 22, 2020",35
"Sep 23, 2020",42
"Sep 24, 2020",39
"Sep 25, 2020",37
"Sep 26, 2020",23
"Sep 27, 2020",26
"Sep 28, 2020",34
"Sep 29, 2020",39
"Sep 30, 2020",34
"Oct 1, 2020",36
"Oct 2, 2020",35
"Oct 3, 2020",21
"Oct 4, 2020",27
"Oct 5, 2020",35
"Oct 6, 2020",43
"Oct 7, 2020",43
"Oct 8, 2020",43
"Oct 9, 2020",36
"Oct 10, 2020",27
"Oct 11, 2020",28
"Oct 12, 2020",39
"Oct 13, 2020",38
"Oct 14, 2020",41
"Oct 15, 2020",38
"Oct 16, 2020",40
"Oct 17, 2020",25
"Oct 18, 2020",32
"Oct 19, 2020",35
"Oct 20, 2020",39
"Oct 21, 2020",42
"Oct 22, 2020",39
"Oct 23, 2020",38
"Oct 24, 2020",22
"Oct 25, 2020",22
"Oct 26, 2020",37
"Oct 27, 2020",42
"Oct 28, 2020",35
"Oct 29, 2020",41
"Oct 30, 2020",37
"Oct 31, 2020",27
"Nov 1, 2020",25
"Nov 2, 2020",38
"Nov 3, 2020",38
"Nov 4, 2020",56
"Nov 5, 2020",44
"Nov 6, 2020",36
"Nov 7, 2020",25
"Nov 8, 2020",23
"Nov 9, 2020",41
"Nov 10, 2020",41
"Nov 11, 2020",44
"Nov 12, 2020",35
"Nov 13, 2020",41
"Nov 14, 2020",29
"Nov 15, 2020",27
"Nov 16, 2020",40
"Nov 17, 2020",49
"Nov 18, 2020",52
"Nov 19, 2020",46
"Nov 20, 2020",46
"Nov 21, 2020",29
"Nov 22, 2020",39
"Nov 23, 2020",44
"Nov 24, 2020",50
"Nov 25, 2020",46
"Nov 26, 2020",47
"Nov 27, 2020",38
"Nov 28, 2020",36
"Nov 29, 2020",31
"Nov 30, 2020",38
"Dec 1, 2020",47
"Dec 2, 2020",48
"Dec 3, 2020",50
"Dec 4, 2020",45
"Dec 5, 2020",31
"Dec 6, 2020",30
"Dec 7, 2020",46
"Dec 8, 2020",51
"Dec 9, 2020",48
"Dec 10, 2020",48
"Dec 11, 2020",54
"Dec 12, 2020",36
"Dec 13, 2020",30
"Dec 14, 2020",45
"Dec 15, 2020",44
"Dec 16, 2020",48
"Dec 17, 2020",50
"Dec 18, 2020",44
"Dec 19, 2020",31
"Dec 20, 2020",37
"Dec 21, 2020",44
"Dec 22, 2020",47
"Dec 23, 2020",48
"Dec 24, 2020",42
"Dec 25, 2020",27
"Dec 26, 2020",28
"Dec 27, 2020",24
"Dec 28, 2020",45
"Dec 29, 2020",49
"Dec 30, 2020",51
"Dec 31, 2020",47
"Jan 1, 2021",31
"Jan 2, 2021",37
"Jan 3, 2021",42
"Jan 4, 2021",58
"Jan 5, 2021",60
"Jan 6, 2021",68
"Jan 7, 2021",70
"Jan 8, 2021",74
"Jan 9, 2021",40
"Jan 10, 2021",51
"Jan 11, 2021",70
"Jan 12, 2021",74
"Jan 13, 2021",72
"Jan 14, 2021",68
"Jan 15, 2021",59
"Jan 16, 2021",42
"Jan 17, 2021",41
"Jan 18, 2021",47
"Jan 19, 2021",59
"Jan 20, 2021",60
"Jan 21, 2021",62
"Jan 22, 2021",60
"Jan 23, 2021",39
"Jan 24, 2021",50
"Jan 25, 2021",67
"Jan 26, 2021",67
"Jan 27, 2021",76
"Jan 28, 2021",80
"Jan 29, 2021",79
"Jan 30, 2021",57
"Jan 31, 2021",52
"Feb 1, 2021",80
"Feb 2, 2021",86
"Feb 3, 2021",85
"Feb 4, 2021",94
"Feb 5, 2021",89
"Feb 6, 2021",56
"Feb 7, 2021",55
"Feb 8, 2021",84
"Feb 9, 2021",82
"Feb 10, 2021",84
"Feb 11, 2021",90
"Feb 12, 2021",94
"Feb 13, 2021",61
"Feb 14, 2021",56
"Feb 15, 2021",64
"Feb 16, 2021",72
"Feb 17, 2021",74
"Feb 18, 2021",72
"Feb 19, 2021",68
"Feb 20, 2021",61
"Feb 21, 2021",54
"Feb 22, 2021",76
"Feb 23, 2021",83
"Feb 24, 2021",76
"Feb 25, 2021",72
"Feb 26, 2021",73
"Feb 27, 2021",53
"Feb 28, 2021",57
"Mar 1, 2021",80
"Mar 2, 2021",75
"Mar 3, 2021",80
"Mar 4, 2021",70
"Mar 5, 2021",62
"Mar 6, 2021",46
"Mar 7, 2021",49
"Mar 8, 2021",69
"Mar 9, 2021",70
"Mar 10, 2021",64
"Mar 11, 2021",58
"Mar 12, 2021",60
"Mar 13, 2021",59
"Mar 14, 2021",56
"Mar 15, 2021",56
"Mar 16, 2021",63
"Mar 17, 2021",67
"Mar 18, 2021",66
"Mar 19, 2021",60
"Mar 20, 2021",45
"Mar 21, 2021",46
"Mar 22, 2021",58
"Mar 23, 2021",55
"Mar 24, 2021",65
"Mar 25, 2021",66
"Mar 26, 2021",54
"Mar 27, 2021",42
"Mar 28, 2021",42
"Mar 29, 2021",51
"Mar 30, 2021",60
"Mar 31, 2021",63
"Apr 1, 2021",55
"Apr 2, 2021",51
"Apr 3, 2021",43
"Apr 4, 2021",41
"Apr 5, 2021",64
"Apr 6, 2021",66
"Apr 7, 2021",61
"Apr 8, 2021",59
"Apr 9, 2021",50
"Apr 10, 2021",47
"Apr 11, 2021",52
"Apr 12, 2021",65
"Apr 13, 2021",61
"Apr 14, 2021",61
"Apr 15, 2021",69
"Apr 16, 2021",68
"Apr 17, 2021",54
"Apr 18, 2021",58
"Apr 19, 2021",65
"Apr 20, 2021",63
"Apr 21, 2021",58
"Apr 22, 2021",65
"Apr 23, 2021",73
"Apr 24, 2021",55
"Apr 25, 2021",46
"Apr 26, 2021",63
"Apr 27, 2021",58
"Apr 28, 2021",64
"Apr 29, 2021",63
"Apr 30, 2021",67
"May 1, 2021",50
"May 2, 2021",46
"May 3, 2021",74
"May 4, 2021",68
"May 5, 2021",81
"May 6, 2021",78
"May 7, 2021",73
"May 8, 2021",56
"May 9, 2021",65
"May 10, 2021",74
"May 11, 2021",96
"May 12, 2021",100
"May 13, 2021",86
"May 14, 2021",71
"May 15, 2021",64
"May 16, 2021",71
"May 17, 2021",75
"May 18, 2021",45
"May 19, 2021",48
