date,buy Ethereum
"Sep 19, 2020",3
"Sep 20, 2020",3
"Sep 21, 2020",3
"Sep 22, 2020",3
"Sep 23, 2020",3
"Sep 24, 2020",3
"Sep 25, 2020",2
"Sep 26, 2020",3
"Sep 27, 2020",3
"Sep 28, 2020",2
"Sep 29, 2020",3
"Sep 30, 2020",2
"Oct 1, 2020",3
"Oct 2, 2020",0
"Oct 3, 2020",3
"Oct 4, 2020",3
"Oct 5, 2020",3
"Oct 6, 2020",2
"Oct 7, 2020",3
"Oct 8, 2020",3
"Oct 9, 2020",2
"Oct 10, 2020",3
"Oct 11, 2020",3
"Oct 12, 2020",4
"Oct 13, 2020",3
"Oct 14, 2020",3
"Oct 15, 2020",0
"Oct 16, 2020",2
"Oct 17, 2020",4
"Oct 18, 2020",0
"Oct 19, 2020",2
"Oct 20, 2020",3
"Oct 21, 2020",0
"Oct 22, 2020",5
"Oct 23, 2020",3
"Oct 24, 2020",4
"Oct 25, 2020",2
"Oct 26, 2020",3
"Oct 27, 2020",2
"Oct 28, 2020",3
"Oct 29, 2020",2
"Oct 30, 2020",3
"Oct 31, 2020",2
"Nov 1, 2020",3
"Nov 2, 2020",3
"Nov 3, 2020",3
"Nov 4, 2020",2
"Nov 5, 2020",3
"Nov 6, 2020",4
"Nov 7, 2020",6
"Nov 8, 2020",3
"Nov 9, 2020",3
"Nov 10, 2020",2
"Nov 11, 2020",2
"Nov 12, 2020",5
"Nov 13, 2020",6
"Nov 14, 2020",4
"Nov 15, 2020",5
"Nov 16, 2020",4
"Nov 17, 2020",7
"Nov 18, 2020",5
"Nov 19, 2020",5
"Nov 20, 2020",8
"Nov 21, 2020",6
"Nov 22, 2020",8
"Nov 23, 2020",10
"Nov 24, 2020",15
"Nov 25, 2020",17
"Nov 26, 2020",8
"Nov 27, 2020",5
"Nov 28, 2020",5
"Nov 29, 2020",5
"Nov 30, 2020",7
"Dec 1, 2020",10
"Dec 2, 2020",7
"Dec 3, 2020",6
"Dec 4, 2020",8
"Dec 5, 2020",8
"Dec 6, 2020",5
"Dec 7, 2020",7
"Dec 8, 2020",5
"Dec 9, 2020",5
"Dec 10, 2020",5
"Dec 11, 2020",4
"Dec 12, 2020",5
"Dec 13, 2020",5
"Dec 14, 2020",5
"Dec 15, 2020",4
"Dec 16, 2020",6
"Dec 17, 2020",11
"Dec 18, 2020",10
"Dec 19, 2020",7
"Dec 20, 2020",8
"Dec 21, 2020",7
